,NOME,ANO_PESQUISA,ANO_INGRESSO,INSTITUICAO_ENSINO_ALUNO,IDADE_ALUNO,ANOS_PM,FASE,TURMA,NIVEL_IDEAL,PONTO_VIRADA,INDICADO_BOLSA,BOLSISTA,INDE,INDE_CONCEITO,PEDRA,DESTAQUE_IEG,DESTAQUE_IDA,DESTAQUE_IPV,IEG,IDA,IPV,IAA,IPS,IPP,IAN,CF,CG,CT,QTD_AVAL,REC_AVA_1,REC_AVA_2,REC_AVA_3,REC_AVA_4,REC_EQUIPE_1,REC_EQUIPE_2,REC_EQUIPE_3,REC_EQUIPE_4,DEFASAGEM,SINALIZADOR_INGRESSANTE,NOTA_PORT,NOTA_MAT,NOTA_ING
412,ALUNO-731,2020,,Escola Pública,17.0,1.0,5,L,,Não,,,6.437778666666668,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.8,4.333333333333333,7.555553333333333,9.16668,3.125,7.708333333333334,5.0,,,,,,,,,,,,,,,,,
413,ALUNO-732,2020,,Escola Pública,14.0,2.0,4,L,,Não,,,7.851389666666667,B,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.0,7.666666666666667,7.611113333333334,7.91667,7.5,8.541666666666666,10.0,,,,,,,,,,,,,,,,,
414,ALUNO-733,2020,,Escola Pública,11.0,2.0,2,M,,Não,,,7.044585,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.9,2.5,7.916665,8.500020000000001,8.125,7.1875,10.0,,,,,,,,,,,,,,,,,
415,ALUNO-737,2020,,Escola Pública,11.0,1.0,2,N,,Não,,,8.070001999999999,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.6,6.5,7.5,8.500020000000001,7.5,7.5,10.0,,,,,,,,,,,,,,,,,
416,ALUNO-738,2020,,Escola Pública,12.0,2.0,2,R,,Não,,,7.458336000000001,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.0,6.0,8.333336666666668,7.50002,6.875,8.541666666666668,5.0,,,,,,,,,,,,,,,,,
417,ALUNO-739,2020,,Rede Decisão/União,13.0,4.0,3,A,,Sim,,,8.703753666666667,A,Topázio,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.3,8.333333333333334,8.666675,10.00002,10.0,8.4375,10.0,,,,,,,,,,,,,,,,,
418,ALUNO-740,2020,,Escola Pública,10.0,0.0,0,D,,Não,,,7.940418,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.4,10.0,5.83333,8.000020000000001,8.125,7.8125,5.0,,,,,,,,,,,,,,,,,
419,ALUNO-743,2020,,Rede Decisão/União,8.0,0.0,0,H,,Não,,,7.993333000000001,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.8,10.0,6.916655,9.000020000000001,5.0,2.5,10.0,,,,,,,,,,,,,,,,,
420,ALUNO-744,2020,,Escola Pública,17.0,1.0,6,C,,Não,,,5.075208833333333,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,4.6,2.6666666666666665,7.0416675,5.41667,5.0,6.71875,5.0,,,,,,,,,,,,,,,,,
421,ALUNO-745,2020,,Escola Pública,15.0,1.0,4,L,,Não,,,5.955279,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,5.7,2.0,7.38889,8.75001,7.5,8.125,5.0,,,,,,,,,,,,,,,,,
