,INSTITUICAO_ENSINO_ALUNO,IDADE_ALUNO,ANOS_PM,PONTO_VIRADA,INDE,INDE_CONCEITO,PEDRA,DESTAQUE_IEG,DESTAQUE_IDA,DESTAQUE_IPV,IAA,IEG,IPS,IDA,IPP,IPV,IAN,NOME,ANO,FASE,TURMA,REC_EQUIPE_4,CF,REC_AVA_3,CG,REC_AVA_1,REC_EQUIPE_2,BOLSISTA,REC_AVA_2,NIVEL_IDEAL,ANO_INGRESSO,REC_EQUIPE_1,REC_EQUIPE_3,REC_AVA_4,QTD_AVAL,DEFASAGEM,SINALIZADOR_INGRESSANTE,INDICADO_BOLSA,CT,NOTA_PORT,NOTA_MAT,NOTA_ING
1219,,,,,,,,,,,,,,,,,,ALUNO-1220,2020,,,,,,,,,,,,,,,,,,,,,,,
1220,,,,,,,,,,,,,,,,,,ALUNO-1221,2020,,,,,,,,,,,,,,,,,,,,,,,
1221,Rede Decisão/União,17,4,Não,7.533542000000001,B,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.16668,6.6,6.875,7,7.34375,7.374995,10,ALUNO-1222,2020,7,B,,,,,,,,,,,,,,,,,,,,,
1222,Escola Pública,11,1,Sim,8.350558,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.500020000000001,8.6,7.5,9.5,8.75,8.77778,5,ALUNO-1223,2020,1,R,,,,,,,,,,,,,,,,,,,,,
1223,,,,,,,,,,,,,,,,,,ALUNO-1224,2020,,,,,,,,,,,,,,,,,,,,,,,
1224,Escola Pública,14,1,Não,5.984724,D,Quartzo,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,6.9166799999999995,8,7.5,0,8.541666666666666,7.944446666666668,5,ALUNO-1225,2020,2,P,,,,,,,,,,,,,,,,,,,,,
1225,Escola Pública,11,1,Não,8.129724666666666,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.500020000000001,8.1,5.625,9.5,8.75,8.611113333333334,5,ALUNO-1226,2020,1,R,,,,,,,,,,,,,,,,,,,,,
1226,,,,,,,,,,,,,,,,,,ALUNO-1227,2020,,,,,,,,,,,,,,,,,,,,,,,
1227,Escola Pública,11,1,Não,7.600000666666666,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,6.91668,8.5,7.5,6.5,7.916666666666667,6.833329999999999,10,ALUNO-1228,2020,2,N,,,,,,,,,,,,,,,,,,,,,
1228,Escola Pública,9,2,Não,7.917778666666665,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.500020000000001,9.2,5.625,8,5.208333333333333,7.222216666666665,10,ALUNO-1229,2020,1,J,,,,,,,,,,,,,,,,,,,,,
1229,Rede Decisão/União,12,3,Não,7.5670823333333335,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,6.24999,9.7,7.5,4.666666666666667,8.4375,7.375,10,ALUNO-1230,2020,3,L,,,,,,,,,,,,,,,,,,,,,
1230,Escola Pública,12,3,Não,6.0041660000000014,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,0,7,4.375,7,6.666666666666666,7.999996666666666,5,ALUNO-1231,2020,2,E,,,,,,,,,,,,,,,,,,,,,
1231,Escola Pública,12,1,Não,6.008751,D,Quartzo,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.500020000000001,8.2,7.5,0,7.1875,7.249995,5,ALUNO-1232,2020,2,H,,,,,,,,,,,,,,,,,,,,,
1232,,,,,,,,,,,,,,,,,,ALUNO-1233,2020,,,,,,,,,,,,,,,,,,,,,,,
1233,,,,,,,,,,,,,,,,,,ALUNO-1234,2020,,,,,,,,,,,,,,,,,,,,,,,
1234,,,,,,,,,,,,,,,,,,ALUNO-1235,2020,,,,,,,,,,,,,,,,,,,,,,,
1235,,,,,,,,,,,,,,,,,,ALUNO-1236,2020,,,,,,,,,,,,,,,,,,,,,,,
1236,Escola Pública,13,1,Não,6.985000666666667,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.9166799999999995,8.3,7.5,5.5,7.5,7.166663333333332,5,ALUNO-1237,2020,2,G,,,,,,,,,,,,,,,,,,,,,
1237,Escola Pública,8,2,Não,8.539168,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.4166799999999995,8.8,7.5,10,6.875,8,10,ALUNO-1238,2020,1,F,,,,,,,,,,,,,,,,,,,,,
1238,,,,,,,,,,,,,,,,,,ALUNO-1239,2020,,,,,,,,,,,,,,,,,,,,,,,
1239,,,,,,,,,,,,,,,,,,ALUNO-1240,2020,,,,,,,,,,,,,,,,,,,,,,,
1240,Escola Pública,11,2,Não,4.179721333333333,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,0,2.1,7.5,0,6.875,6.611106666666666,10,ALUNO-1241,2020,2,G,,,,,,,,,,,,,,,,,,,,,
1241,,,,,,,,,,,,,,,,,,ALUNO-1242,2020,,,,,,,,,,,,,,,,,,,,,,,
1242,,,,,,,,,,,,,,,,,,ALUNO-1243,2020,,,,,,,,,,,,,,,,,,,,,,,
1243,Escola Pública,9,1,Não,8.742502000000002,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.500020000000001,8.9,7.5,9.5,8.125,7.75,10,ALUNO-1244,2020,1,B,,,,,,,,,,,,,,,,,,,,,
1244,,,,,,,,,,,,,,,,,,ALUNO-1245,2020,,,,,,,,,,,,,,,,,,,,,,,
1245,,,,,,,,,,,,,,,,,,ALUNO-1246,2020,,,,,,,,,,,,,,,,,,,,,,,
1246,,,,,,,,,,,,,,,,,,ALUNO-1247,2020,,,,,,,,,,,,,,,,,,,,,,,
1247,Rede Decisão/União,13,3,Não,8.442778666666666,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.16668,9.2,6.875,7.666666666666667,8.541666666666666,8.055553333333332,10,ALUNO-1248,2020,3,G,,,,,,,,,,,,,,,,,,,,,
1248,Rede Decisão/União,14,3,Sim,8.006044,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.16668,7.9,6.25,6,8.59375,9.125005,10,ALUNO-1249,2020,5,F,,,,,,,,,,,,,,,,,,,,,
1249,Escola Pública,13,1,Não,6.484720666666667,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,6.66666,5,7.5,3.3333333333333335,8.125,7.94444,10,ALUNO-1250,2020,3,R,,,,,,,,,,,,,,,,,,,,,
1250,Escola Pública,14,0,Não,7.613959833333333,B,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.16668,6.7,10,7.666666666666667,7.65625,7.7916675,5,ALUNO-1251,2020,3,M,,,,,,,,,,,,,,,,,,,,,
1251,Escola Pública,16,2,Não,5.802082833333333,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,0,6.5,7.5,3.1666666666666665,7.1875,6.9999975,10,ALUNO-1252,2020,6,B,,,,,,,,,,,,,,,,,,,,,
1252,Escola Pública,10,1,Não,7.429166,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.500020000000001,10,5.625,10,2.5,6.3333200000000005,5,ALUNO-1253,2020,0,G,,,,,,,,,,,,,,,,,,,,,
1253,Escola Pública,12,2,Não,6.518752000000001,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.500020000000001,3.5,6.875,8,7.8125,7,5,ALUNO-1254,2020,2,D,,,,,,,,,,,,,,,,,,,,,
1254,,,,,,,,,,,,,,,,,,ALUNO-1255,2020,,,,,,,,,,,,,,,,,,,,,,,
1255,Escola Pública,15,2,Não,5.397779,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.91667,4.6,7.5,0,7.916666666666668,8.222226666666668,5,ALUNO-1256,2020,4,A,,,,,,,,,,,,,,,,,,,,,
1256,Escola Pública,14,1,Não,7.6402105,B,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,10.000020000000001,6.8,7.5,8,7.96875,8.166667499999999,5,ALUNO-1257,2020,3,M,,,,,,,,,,,,,,,,,,,,,
1257,,,,,,,,,,,,,,,,,,ALUNO-1258,2020,,,,,,,,,,,,,,,,,,,,,,,
1258,V202,D108,D971,D9600,D980,D9891/2,D9891/2A,D301,D302,,D910,V920,D930,D940,D950,D960,D970,ALUNO-1259,2020,,,,,,,,,,,,,,,,,,,,,,,
1259,Escola Pública,10,0,Não,7.975835333333334,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.500020000000001,8.9,7.5,9,7.291666666666667,7.333333333333333,5,ALUNO-1260,2020,1,C,,,,,,,,,,,,,,,,,,,,,
1260,Rede Decisão/União,15,4,Não,5.436457833333334,D,Quartzo,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.91667,7.5,3.125,0.6666666666666666,6.40625,5.2916625,10,ALUNO-1261,2020,5,G,,,,,,,,,,,,,,,,,,,,,
1261,Escola Pública,15,0,Não,6.840279333333334,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.33334,9,7.5,2.6666666666666665,8.125,8.055560000000002,5,ALUNO-1262,2020,4,A,,,,,,,,,,,,,,,,,,,,,
1262,,,,,,,,,,,,,,,,,,ALUNO-1263,2020,,,,,,,,,,,,,,,,,,,,,,,
1263,Escola Pública,10,1,Não,8.110557333333334,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,10.000020000000001,8.4,7.5,9.5,7.916666666666668,7.444443333333333,5,ALUNO-1264,2020,1,H,,,,,,,,,,,,,,,,,,,,,
1264,Escola Pública,16,1,Não,8.124446333333335,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.75001,9.9,7.5,7.666666666666667,8.749999999999998,8.055560000000002,5,ALUNO-1265,2020,4,B,,,,,,,,,,,,,,,,,,,,,
1265,Escola Pública,12,2,Não,7.463612666666667,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.500020000000001,8.7,5,7.5,7.291666666666667,8.22222,5,ALUNO-1266,2020,2,R,,,,,,,,,,,,,,,,,,,,,
1266,,,,,,,,,,,,,,,,,,ALUNO-1267,2020,,,,,,,,,,,,,,,,,,,,,,,
1267,,,,,,,,,,,,,,,,,,ALUNO-1268,2020,,,,,,,,,,,,,,,,,,,,,,,
1268,,,,,,,,,,,,,,,,,,ALUNO-1269,2020,,,,,,,,,,,,,,,,,,,,,,,
1269,Escola Pública,10,1,Não,7.448612666666667,B,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.500020000000001,6.5,7.5,6,7.708333333333334,7.888886666666666,10,ALUNO-1270,2020,2,E,,,,,,,,,,,,,,,,,,,,,
1270,,,,,,,,,,,,,,,,,,ALUNO-1271,2020,,,,,,,,,,,,,,,,,,,,,,,
1271,,,,,,,,,,,,,,,,,,ALUNO-1272,2020,,,,,,,,,,,,,,,,,,,,,,,
1272,,,,,,,,,,,,,,,,,,ALUNO-1273,2020,,,,,,,,,,,,,,,,,,,,,,,
1273,Escola Pública,15,1,Sim,7.942502666666667,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.16668,8.4,7.5,7.333333333333333,8.958333333333332,8.666673333333334,5,ALUNO-1274,2020,4,A,,,,,,,,,,,,,,,,,,,,,
1274,Escola Pública,9,1,Não,8.718752,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,10.000020000000001,8.5,7.5,10,7.1875,7.75,10,ALUNO-1275,2020,1,G,,,,,,,,,,,,,,,,,,,,,
1275,,,,,,,,,,,,,,,,,,ALUNO-1276,2020,,,,,,,,,,,,,,,,,,,,,,,
1276,Escola Pública,13,3,Sim,7.639723666666667,B,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.08333,5.9,5,7.666666666666667,8.958333333333332,9.111120000000001,10,ALUNO-1277,2020,3,E,,,,,,,,,,,,,,,,,,,,,
1277,Escola Pública,9,1,Não,7.31667,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,10,7.5,10,2.5,4.58334,5,ALUNO-1278,2020,0,H,,,,,,,,,,,,,,,,,,,,,
1278,,,,,,,,,,,,,,,,,,ALUNO-1279,2020,,,,,,,,,,,,,,,,,,,,,,,
1279,,,,,,,,,,,,,,,,,,ALUNO-1280,2020,,,,,,,,,,,,,,,,,,,,,,,
1280,Escola Pública,16,2,Sim,8.381459166666666,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.91667,9.1,7.5,6.833333333333333,8.28125,9.125002499999999,10,ALUNO-1281,2020,7,A,,,,,,,,,,,,,,,,,,,,,
1281,Rede Decisão/União,7,0,Não,6.301668,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.9166799999999995,8.8,2.5,8.5,2.5,2.75,10,ALUNO-1282,2020,0,A,,,,,,,,,,,,,,,,,,,,,
1282,,,,,,,,,,,,,,,,,,ALUNO-1283,2020,,,,,,,,,,,,,,,,,,,,,,,
1283,Escola Pública,16,0,Não,6.793611000000001,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.75001,8.6,7.5,4.333333333333333,7.708333333333334,6.555550000000001,5,ALUNO-1284,2020,5,A,,,,,,,,,,,,,,,,,,,,,
1284,Escola Pública,8,0,Não,8.61125,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.000020000000001,9.9,7.5,9,7.8125,6.99999,10,ALUNO-1285,2020,0,H,,,,,,,,,,,,,,,,,,,,,
1285,,,,,,,,,,,,,,,,,,ALUNO-1286,2020,,,,,,,,,,,,,,,,,,,,,,,
1286,Escola Pública,10,0,Não,7.16667,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.500020000000001,10,7.5,8.5,2.5,5.58334,5,ALUNO-1287,2020,0,A,,,,,,,,,,,,,,,,,,,,,
1287,Rede Decisão/União,16,4,Não,6.728749,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,0,7.8,7.5,6,7.1875,7.499995,10,ALUNO-1288,2020,6,B,,,,,,,,,,,,,,,,,,,,,
1288,Escola Pública,12,0,Não,6.120001333333334,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.500020000000001,7.1,7.5,3,6.666666666666667,6.666663333333334,5,ALUNO-1289,2020,2,L,,,,,,,,,,,,,,,,,,,,,
1289,FIAP,18,2,,7.183333999999999,C,Ágata,Ponto a melhorar em 2021: Melhorar o seu engajamento nas ações de voluntariado.,Seu destaque em 2020: As suas boas notas na Faculdade.,,8.33334,0,8.75,9,0,0,10,ALUNO-1290,2020,8,A,,,,,,,,,,,,,,,,,,,,,
1290,Escola Pública,9,0,Não,8.050834666666667,B,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,6.9166799999999995,6.9,7.5,10,7.291666666666667,7.5,10,ALUNO-1291,2020,1,K,,,,,,,,,,,,,,,,,,,,,
1291,Escola Pública,11,1,Não,8.949447333333334,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,10.000020000000001,9.4,7.5,9,8.75,8.222226666666668,10,ALUNO-1292,2020,2,P,,,,,,,,,,,,,,,,,,,,,
1292,Escola Pública,12,1,Não,3.8519446666666672,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,0,1.1,7.5,0,7.708333333333334,8.055556666666668,5,ALUNO-1293,2020,2,C,,,,,,,,,,,,,,,,,,,,,
1293,Escola Pública,16,1,Não,4.4933325,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.91667,2.8,5,0,6.25,5.0833275,10,ALUNO-1294,2020,6,B,,,,,,,,,,,,,,,,,,,,,
1294,,,,,,,,,,,,,,,,,,ALUNO-1295,2020,,,,,,,,,,,,,,,,,,,,,,,
1295,Escola Pública,10,1,Não,6.846252000000001,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.500020000000001,8.7,5.625,5.75,5.9375,7.25,5,ALUNO-1296,2020,1,A,,,,,,,,,,,,,,,,,,,,,
1296,Escola Pública,18,1,Não,7.080833833333333,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.91667,8.3,6.875,5.666666666666667,7.5,7.7916675,5,ALUNO-1297,2020,7,B,,,,,,,,,,,,,,,,,,,,,
1297,Escola Pública,8,1,Não,8.546669,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.500020000000001,9.9,7.5,9,7.5,6.583335,10,ALUNO-1298,2020,0,F,,,,,,,,,,,,,,,,,,,,,
1298,Rede Decisão/União,14,3,Não,7.819792333333333,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.91667,8.5,7.5,5.166666666666667,8.28125,8.583335,10,ALUNO-1299,2020,6,A,,,,,,,,,,,,,,,,,,,,,
1299,,,,,,,,,,,,,,,,,,ALUNO-1300,2020,,,,,,,,,,,,,,,,,,,,,,,
1300,,,,,,,,,,,,,,,,,,ALUNO-1301,2020,,,,,,,,,,,,,,,,,,,,,,,
1301,Escola Pública,11,1,Não,4.3272233333333325,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.000020000000001,0.9,7.5,0,7.083333333333334,6.944439999999998,5,ALUNO-1302,2020,1,R,,,,,,,,,,,,,,,,,,,,,
1302,Escola Pública,13,4,Não,6.2175020000000005,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,7.9,4.375,3,5,8.5,5,ALUNO-1303,2020,2,H,,,,,,,,,,,,,,,,,,,,,
1303,,,,,,,,,,,,,,,,,,ALUNO-1304,2020,,,,,,,,,,,,,,,,,,,,,,,
1304,,,,,,,,,,,,,,,,,,ALUNO-1305,2020,,,,,,,,,,,,,,,,,,,,,,,
1305,,,,,,,,,,,,,,,,,,ALUNO-1306,2020,,,,,,,,,,,,,,,,,,,,,,,
1306,,,,,,,,,,,,,,,,,,ALUNO-1307,2020,,,,,,,,,,,,,,,,,,,,,,,
1307,,,,,,,,,,,,,,,,,,ALUNO-1308,2020,,,,,,,,,,,,,,,,,,,,,,,
1308,Escola Pública,17,1,Não,7.887501166666667,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.5,8,7.5,6.833333333333333,8.125,8.0416725,10,ALUNO-1309,2020,7,A,,,,,,,,,,,,,,,,,,,,,
1309,,,,,,,,,,,,,,,,,,ALUNO-1310,2020,,,,,,,,,,,,,,,,,,,,,,,
1310,,,,,,,,,,,,,,,,,,ALUNO-1311,2020,,,,,,,,,,,,,,,,,,,,,,,
1311,,,,,,,,,,,,,,,,,,ALUNO-1312,2020,,,,,,,,,,,,,,,,,,,,,,,
1312,Escola Pública,14,0,Não,5.189999333333334,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.33334,5.2,5,2.1666666666666665,7.5,5.666660000000001,5,ALUNO-1313,2020,3,H,,,,,,,,,,,,,,,,,,,,,
1313,,,,,,,,,,,,,,,,,,ALUNO-1314,2020,,,,,,,,,,,,,,,,,,,,,,,
1314,Rede Decisão/União,12,4,Não,5.655001,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.000020000000001,6.9,5,4.5,3.75,5.999995,5,ALUNO-1315,2020,2,B,,,,,,,,,,,,,,,,,,,,,
1315,Escola Pública,10,1,Não,8.500003,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.500020000000001,10,7.5,10,7.5,7.750005,5,ALUNO-1316,2020,0,B,,,,,,,,,,,,,,,,,,,,,
1316,,,,,,,,,,,,,,,,,,ALUNO-1317,2020,,,,,,,,,,,,,,,,,,,,,,,
1317,Estácio,20,4,,7.255001,C,Ágata,Ponto a melhorar em 2021: Melhorar o seu engajamento nas ações de voluntariado.,Seu destaque em 2020: As suas boas notas na Faculdade.,,8.75001,0,7.5,9.7,0,0,10,ALUNO-1318,2020,8,A,,,,,,,,,,,,,,,,,,,,,
1318,Escola Pública,10,1,Não,7.898334666666667,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,6.41668,9.2,6.875,10,7.291666666666667,7.5,5,ALUNO-1319,2020,1,J,,,,,,,,,,,,,,,,,,,,,
